Number of steps: 500
Force Vector <4> : [
  0.000000,
  0.000000,
  0.000000,
  -9.810000,
]
Initial State <4> : [
  0.000000,
  0.000000,
  10.000000,
  10.000000,
]
	x,	y,	vx,	vy,
Results <500,4>: [
  0.050000,	  0.050000,	  9.858579,	  9.809528,	
  0.099293,	  0.099048,	  9.721471,	  9.624052,	
  0.147900,	  0.147168,	  9.588486,	  9.443350,	
  0.195843,	  0.194385,	  9.459445,	  9.267212,	
  0.243140,	  0.240721,	  9.334179,	  9.095442,	
  0.289811,	  0.286198,	  9.212528,	  8.927853,	
  0.335873,	  0.330837,	  9.094343,	  8.764269,	
  0.381345,	  0.374658,	  8.979481,	  8.604526,	
  0.426243,	  0.417681,	  8.867806,	  8.448464,	
  0.470582,	  0.459923,	  8.759193,	  8.295938,	
  0.514378,	  0.501403,	  8.653521,	  8.146803,	
  0.557645,	  0.542137,	  8.550673,	  8.000928,	
  0.600398,	  0.582142,	  8.450543,	  7.858185,	
  0.642651,	  0.621433,	  8.353027,	  7.718455,	
  0.684416,	  0.660025,	  8.258027,	  7.581622,	
  0.725706,	  0.697933,	  8.165450,	  7.447578,	
  0.766534,	  0.735171,	  8.075208,	  7.316219,	
  0.806910,	  0.771752,	  7.987216,	  7.187448,	
  0.846846,	  0.807689,	  7.901393,	  7.061169,	
  0.886353,	  0.842995,	  7.817664,	  6.937293,	
  0.925441,	  0.877682,	  7.735954,	  6.815735,	
  0.964121,	  0.911760,	  7.656196,	  6.696414,	
  1.002402,	  0.945242,	  7.578321,	  6.579251,	
  1.040294,	  0.978139,	  7.502266,	  6.464173,	
  1.077805,	  1.010460,	  7.427971,	  6.351109,	
  1.114945,	  1.042215,	  7.355377,	  6.239989,	
  1.151722,	  1.073415,	  7.284430,	  6.130750,	
  1.188144,	  1.104069,	  7.215075,	  6.023329,	
  1.224219,	  1.134185,	  7.147261,	  5.917667,	
  1.259956,	  1.163774,	  7.080941,	  5.813706,	
  1.295360,	  1.192842,	  7.016067,	  5.711392,	
  1.330441,	  1.221399,	  6.952593,	  5.610672,	
  1.365203,	  1.249453,	  6.890478,	  5.511496,	
  1.399656,	  1.277010,	  6.829679,	  5.413815,	
  1.433804,	  1.304079,	  6.770158,	  5.317582,	
  1.467655,	  1.330667,	  6.711875,	  5.222754,	
  1.501214,	  1.356781,	  6.654794,	  5.129287,	
  1.534488,	  1.382427,	  6.598879,	  5.037140,	
  1.567483,	  1.407613,	  6.544097,	  4.946274,	
  1.600203,	  1.432344,	  6.490416,	  4.856649,	
  1.632655,	  1.456628,	  6.437802,	  4.768229,	
  1.664844,	  1.480469,	  6.386227,	  4.680980,	
  1.696775,	  1.503874,	  6.335660,	  4.594865,	
  1.728454,	  1.526848,	  6.286075,	  4.509854,	
  1.759884,	  1.549397,	  6.237442,	  4.425913,	
  1.791071,	  1.571527,	  6.189737,	  4.343013,	
  1.822020,	  1.593242,	  6.142934,	  4.261124,	
  1.852735,	  1.614548,	  6.097009,	  4.180217,	
  1.883220,	  1.635449,	  6.051937,	  4.100266,	
  1.913479,	  1.655950,	  6.007697,	  4.021242,	
  1.943518,	  1.676056,	  5.964265,	  3.943121,	
  1.973339,	  1.695772,	  5.921622,	  3.865879,	
  2.002947,	  1.715101,	  5.879745,	  3.789490,	
  2.032346,	  1.734049,	  5.838615,	  3.713932,	
  2.061539,	  1.752619,	  5.798214,	  3.639182,	
  2.090530,	  1.770814,	  5.758522,	  3.565220,	
  2.119323,	  1.788640,	  5.719520,	  3.492023,	
  2.147920,	  1.806101,	  5.681192,	  3.419572,	
  2.176326,	  1.823198,	  5.643520,	  3.347847,	
  2.204544,	  1.839938,	  5.606489,	  3.276829,	
  2.232576,	  1.856322,	  5.570081,	  3.206500,	
  2.260427,	  1.872354,	  5.534281,	  3.136842,	
  2.288098,	  1.888039,	  5.499075,	  3.067837,	
  2.315593,	  1.903378,	  5.464448,	  2.999469,	
  2.342916,	  1.918375,	  5.430385,	  2.931721,	
  2.370067,	  1.933034,	  5.396873,	  2.864579,	
  2.397052,	  1.947356,	  5.363898,	  2.798027,	
  2.423871,	  1.961347,	  5.331448,	  2.732049,	
  2.450529,	  1.975007,	  5.299509,	  2.666632,	
  2.477026,	  1.988340,	  5.268069,	  2.601762,	
  2.503366,	  2.001349,	  5.237116,	  2.537425,	
  2.529552,	  2.014036,	  5.206639,	  2.473609,	
