Number of steps: 500
Update Matrix <4,4>: [
  1.000000,	  0.000000,	  0.005000,	  0.000000,	
  0.000000,	  1.000000,	  0.000000,	  0.005000,	
  0.000000,	  0.000000,	  1.000000,	  0.000000,	
  0.000000,	  0.000000,	  0.000000,	  1.000000,	
]
Force Vector <4> : [
  0.000000,
  0.000000,
  0.000000,
  -0.049050,
]
Initial State <4> : [
  0.000000,
  0.000000,
  10.000000,
  10.000000,
]
Results <500,4>: [
  0.050000,	  0.050000,	  10.000000,	  9.950950,	
  0.100000,	  0.099755,	  10.000000,	  9.901899,	
  0.150000,	  0.149264,	  10.000000,	  9.852849,	
  0.200000,	  0.198528,	  10.000000,	  9.803799,	
  0.250000,	  0.247547,	  10.000000,	  9.754748,	
  0.300000,	  0.296321,	  10.000000,	  9.705698,	
  0.350000,	  0.344850,	  10.000000,	  9.656648,	
  0.400000,	  0.393133,	  10.000000,	  9.607597,	
  0.450000,	  0.441171,	  10.000000,	  9.558547,	
  0.500000,	  0.488964,	  10.000000,	  9.509497,	
  0.550000,	  0.536511,	  10.000000,	  9.460446,	
  0.600000,	  0.583813,	  10.000000,	  9.411396,	
  0.650000,	  0.630870,	  10.000000,	  9.362346,	
  0.700000,	  0.677682,	  10.000000,	  9.313295,	
  0.750000,	  0.724249,	  10.000000,	  9.264245,	
  0.800000,	  0.770570,	  10.000000,	  9.215195,	
  0.850000,	  0.816646,	  10.000000,	  9.166144,	
  0.900000,	  0.862477,	  10.000000,	  9.117094,	
  0.950000,	  0.908062,	  10.000000,	  9.068044,	
  1.000000,	  0.953402,	  10.000000,	  9.018993,	
  1.050000,	  0.998497,	  10.000000,	  8.969943,	
  1.100000,	  1.043347,	  10.000000,	  8.920893,	
  1.150000,	  1.087951,	  10.000000,	  8.871842,	
  1.200000,	  1.132311,	  10.000000,	  8.822792,	
  1.250000,	  1.176425,	  10.000000,	  8.773742,	
  1.300000,	  1.220293,	  10.000000,	  8.724691,	
  1.350000,	  1.263917,	  10.000000,	  8.675641,	
  1.400000,	  1.307295,	  10.000000,	  8.626591,	
  1.450000,	  1.350428,	  10.000000,	  8.577540,	
  1.500000,	  1.393315,	  10.000000,	  8.528490,	
  1.550000,	  1.435958,	  10.000000,	  8.479440,	
  1.600000,	  1.478355,	  10.000000,	  8.430389,	
  1.649999,	  1.520507,	  10.000000,	  8.381339,	
  1.699999,	  1.562414,	  10.000000,	  8.332289,	
  1.749999,	  1.604075,	  10.000000,	  8.283238,	
  1.799999,	  1.645491,	  10.000000,	  8.234188,	
  1.849999,	  1.686662,	  10.000000,	  8.185138,	
  1.899999,	  1.727588,	  10.000000,	  8.136087,	
  1.949999,	  1.768268,	  10.000000,	  8.087037,	
  1.999999,	  1.808704,	  10.000000,	  8.037987,	
  2.049999,	  1.848894,	  10.000000,	  7.988937,	
  2.099999,	  1.888838,	  10.000000,	  7.939887,	
  2.149999,	  1.928538,	  10.000000,	  7.890837,	
  2.199999,	  1.967992,	  10.000000,	  7.841787,	
  2.249999,	  2.007201,	  10.000000,	  7.792737,	
  2.299999,	  2.046165,	  10.000000,	  7.743688,	
  2.349999,	  2.084883,	  10.000000,	  7.694638,	
  2.399999,	  2.123356,	  10.000000,	  7.645588,	
  2.449999,	  2.161584,	  10.000000,	  7.596538,	
  2.499999,	  2.199567,	  10.000000,	  7.547488,	
  2.549999,	  2.237304,	  10.000000,	  7.498438,	
  2.599999,	  2.274797,	  10.000000,	  7.449389,	
  2.649999,	  2.312044,	  10.000000,	  7.400339,	
  2.699999,	  2.349045,	  10.000000,	  7.351289,	
  2.749999,	  2.385802,	  10.000000,	  7.302239,	
  2.799999,	  2.422313,	  10.000000,	  7.253189,	
  2.849998,	  2.458579,	  10.000000,	  7.204139,	
  2.899998,	  2.494600,	  10.000000,	  7.155089,	
  2.949998,	  2.530375,	  10.000000,	  7.106040,	
  2.999998,	  2.565905,	  10.000000,	  7.056990,	
  3.049998,	  2.601190,	  10.000000,	  7.007940,	
  3.099998,	  2.636230,	  10.000000,	  6.958890,	
  3.149998,	  2.671024,	  10.000000,	  6.909840,	
  3.199998,	  2.705574,	  10.000000,	  6.860790,	
  3.249998,	  2.739877,	  10.000000,	  6.811740,	
  3.299998,	  2.773936,	  10.000000,	  6.762691,	
  3.349998,	  2.807750,	  10.000000,	  6.713641,	
  3.399998,	  2.841318,	  10.000000,	  6.664591,	
  3.449998,	  2.874641,	  10.000000,	  6.615541,	
  3.499998,	  2.907719,	  10.000000,	  6.566491,	
  3.549998,	  2.940551,	  10.000000,	  6.517441,	
  3.599998,	  2.973138,	  10.000000,	  6.468391,	
  3.649998,	  3.005480,	  10.000000,	  6.419342,	
  3.699998,	  3.037577,	  10.000000,	  6.370292,	
  3.749998,	  3.069428,	  10.000000,	  6.321242,	
  3.799998,	  3.101035,	  10.000000,	  6.272192,	
  3.849998,	  3.132396,	  10.000000,	  6.223142,	
  3.899997,	  3.163511,	  10.000000,	  6.174092,	
  3.949997,	  3.194382,	  10.000000,	  6.125042,	
  3.999997,	  3.225007,	  10.000000,	  6.075993,	
  4.049997,	  3.255387,	  10.000000,	  6.026943,	
  4.099998,	  3.285522,	  10.000000,	  5.977893,	
  4.149998,	  3.315411,	  10.000000,	  5.928843,	
  4.199998,	  3.345055,	  10.000000,	  5.879793,	
  4.249998,	  3.374454,	  10.000000,	  5.830743,	
  4.299998,	  3.403608,	  10.000000,	  5.781693,	
  4.349998,	  3.432517,	  10.000000,	  5.732644,	
  4.399999,	  3.461180,	  10.000000,	  5.683594,	
  4.449999,	  3.489598,	  10.000000,	  5.634544,	
  4.499999,	  3.517771,	  10.000000,	  5.585494,	
  4.549999,	  3.545698,	  10.000000,	  5.536444,	
  4.599999,	  3.573380,	  10.000000,	  5.487394,	
  4.650000,	  3.600817,	  10.000000,	  5.438344,	
  4.700000,	  3.628009,	  10.000000,	  5.389295,	
  4.750000,	  3.654955,	  10.000000,	  5.340245,	
